crash_id,crash_datetime,crash_date,latitude,longitude,n_crash_reports,contains_fatality_words,contains_pedestrian_words,contains_matatu_words,contains_motorcycle_words,hour,month,year,day_of_week,severity,road_user_type
167,2018-06-25 11:38:00,2018-06-25,-4.029915,39.632612,1,0,0,1,0,11,6,2018,Monday,Non-Fatal,Matatu
168,2018-06-25 16:19:00,2018-06-25,-1.132897,36.6349645,1,0,0,0,0,16,6,2018,Monday,Non-Fatal,Other
169,2018-06-25 18:52:00,2018-06-25,-1.3194545,36.8382225,1,0,0,0,0,18,6,2018,Monday,Non-Fatal,Other
170,2018-06-25 19:00:00,2018-06-25,-1.2594055,36.844797,1,0,0,0,0,19,6,2018,Monday,Non-Fatal,Other
171,2018-06-27 08:24:00,2018-06-27,-1.040628,36.823518,1,0,0,0,0,8,6,2018,Wednesday,Non-Fatal,Other
172,2018-06-27 09:39:00,2018-06-27,-3.793191,39.38432,1,0,0,0,0,9,6,2018,Wednesday,Non-Fatal,Other
173,2018-06-27 13:14:00,2018-06-27,-1.238104,36.8439875,1,0,0,0,0,13,6,2018,Wednesday,Non-Fatal,Other
174,2018-06-27 13:20:00,2018-06-27,-1.2948505,36.787387,1,0,0,0,0,13,6,2018,Wednesday,Non-Fatal,Other
175,2018-06-28 16:57:00,2018-06-28,-1.2610945,36.841869,1,0,0,0,0,16,6,2018,Thursday,Non-Fatal,Other
176,2018-06-28 17:03:00,2018-06-28,-1.2848035,36.8204285,1,0,0,0,0,17,6,2018,Thursday,Non-Fatal,Other
177,2018-06-28 19:09:00,2018-06-28,-1.263175,36.758835,1,0,0,1,0,19,6,2018,Thursday,Non-Fatal,Matatu
178,2018-06-29 07:07:00,2018-06-29,-1.2058225,36.8320265,1,0,0,0,0,7,6,2018,Friday,Non-Fatal,Other
179,2018-06-29 07:46:00,2018-06-29,-1.269846,36.807199,1,0,0,0,0,7,6,2018,Friday,Non-Fatal,Other
180,2018-06-29 12:35:00,2018-06-29,-1.3328455,36.7816645,1,0,0,0,1,12,6,2018,Friday,Non-Fatal,Motorcycle
181,2018-06-29 18:03:00,2018-06-29,-1.263873,36.7494195,1,0,0,0,0,18,6,2018,Friday,Non-Fatal,Other
182,2018-06-30 06:56:00,2018-06-30,-1.372794,36.92026,1,0,0,0,0,6,6,2018,Saturday,Non-Fatal,Other
183,2018-06-30 08:23:00,2018-06-30,-1.205315,36.778044,1,0,0,0,0,8,6,2018,Saturday,Non-Fatal,Other
184,2018-06-30 09:08:00,2018-06-30,-1.2184465,36.892509,1,0,0,0,0,9,6,2018,Saturday,Non-Fatal,Other
185,2018-06-30 09:25:00,2018-06-30,-1.2263555,36.883683,1,0,0,0,0,9,6,2018,Saturday,Non-Fatal,Other
186,2018-06-30 10:03:00,2018-06-30,-1.037827,37.0636,1,0,0,0,0,10,6,2018,Saturday,Non-Fatal,Other
187,2018-06-30 10:17:00,2018-06-30,-1.201342,36.908912,1,0,0,0,0,10,6,2018,Saturday,Non-Fatal,Other
188,2018-06-30 11:10:00,2018-06-30,-1.2488345,36.86568,1,0,0,0,0,11,6,2018,Saturday,Non-Fatal,Other
189,2018-06-30 13:37:00,2018-06-30,-1.291326,36.824422,1,0,0,0,0,13,6,2018,Saturday,Non-Fatal,Other
